nquest,stock_participation,mutual_fund_or_etf,direct_listed_stock,income,log_income,education,age,age_centered,age_centered_squared,region,household_size,female_head,weight
173,0,0,0,33194.08,10.410127,Upper secondary,74,19,105,South and Islands,1,0,0.22639291
2886,0,0,0,58808.4,10.98204,Upper secondary,73,18,68,South and Islands,2,0,0.051871788
3717,0,0,0,6110.0,8.717682,Upper secondary,68,13,-87,South and Islands,1,1,0.26215526
5416,0,0,0,27431.514,10.219448,Lower secondary,64,9,81,North,3,1,0.320193
7886,0,0,0,32031.36,10.374471,Upper secondary,72,17,33,Centre,2,0,1.5578499
20297,0,0,0,34066.996,10.436085,Lower secondary,62,7,49,North,2,0,0.37253407
20711,0,0,0,32801.953,10.398243,Upper secondary,77,22,-28,North,2,1,0.6899616
22099,0,0,0,18009.408,9.79865,Lower secondary,64,9,81,South and Islands,2,0,1.327104
22169,0,0,0,8320.471,9.026474,Primary or less,78,23,17,South and Islands,1,1,0.6802146
22173,0,0,0,28618.816,10.26182,Primary or less,84,29,73,South and Islands,3,0,0.422606
22286,0,0,0,28129.941,10.24459,Lower secondary,72,17,33,North,2,0,2.203587
22624,0,0,0,35404.703,10.4746,Primary or less,65,10,100,South and Islands,4,0,0.16628496
22657,0,0,0,47148.344,10.761054,Upper secondary,76,21,-71,South and Islands,2,0,0.09945491
23490,0,0,0,22395.586,10.016619,Upper secondary,85,30,-124,North,1,1,0.33008343
23797,0,0,0,32617.248,10.392596,Lower secondary,67,12,-112,South and Islands,2,0,0.63545597
23821,0,0,0,13656.307,9.521956,Upper secondary,54,-1,1,South and Islands,2,1,0.4306593
23823,0,0,0,27532.928,10.223138,Primary or less,85,30,-124,South and Islands,2,1,0.26232132
24147,0,0,0,95856.16,11.470604,University,74,19,105,North,2,0,0.5512122
24853,0,0,0,60390.49,11.008587,Lower secondary,65,10,100,Centre,2,0,0.3577472
27238,0,0,0,33162.72,10.409182,Lower secondary,70,15,-31,Centre,2,0,2.346047
27730,0,0,0,35806.273,10.485878,Primary or less,83,28,16,South and Islands,4,0,0.36207744
27734,0,0,0,19224.941,9.863964,Primary or less,75,20,-112,South and Islands,2,0,0.25207442
27739,0,0,0,20846.656,9.944949,Primary or less,84,29,73,South and Islands,1,1,0.05165468
27742,0,0,0,13161.568,9.485056,Primary or less,90,35,-55,South and Islands,1,1,0.65725464
27912,0,0,0,37829.758,10.540852,Upper secondary,74,19,105,South and Islands,2,0,0.17861784
27923,1,0,1,26319.28,10.178057,Upper secondary,71,16,0,South and Islands,3,0,0.452808
28992,0,0,0,28694.078,10.264446,Lower secondary,81,26,-92,South and Islands,1,1,0.47077873
29140,0,0,0,37231.36,10.524907,Lower secondary,73,18,68,Centre,2,0,2.2485516
29678,0,0,0,18974.684,9.850861,Lower secondary,89,34,-124,South and Islands,2,0,0.3328175
29680,0,0,0,20536.475,9.929957,Lower secondary,58,3,9,South and Islands,3,0,0.44781542
29737,0,0,0,66659.266,11.107349,University,71,16,0,South and Islands,2,0,0.06562367
31093,0,0,0,47210.977,10.762382,Upper secondary,68,13,-87,North,1,0,1.4247503
31220,1,1,0,44869.902,10.711522,Primary or less,84,29,73,North,1,1,0.38064554
31625,0,0,0,38494.08,10.55826,University,65,10,100,North,1,1,1.1203244
31652,1,0,0,51973.75,10.858494,Upper secondary,81,26,-92,North,2,0,5.8265657
31695,0,0,0,40025.93,10.597282,Lower secondary,58,3,9,North,2,0,0.7081774
31757,0,0,0,18382.508,9.819155,Upper secondary,87,32,0,North,1,1,0.8830699
31860,0,0,0,53348.953,10.884609,Lower secondary,64,9,81,South and Islands,2,0,0.032768477
32320,0,0,0,78094.08,11.26567,University,60,5,25,North,2,1,0.16685681
32471,0,0,0,12715.68,9.450591,Primary or less,77,22,-28,South and Islands,1,1,3.508702
32524,1,1,1,94512.516,11.456488,University,77,22,-28,North,2,0,0.07550674
32556,1,1,0,24260.861,10.09662,Lower secondary,75,20,-112,North,1,1,1.4450687
32729,0,0,0,41526.656,10.63409,Upper secondary,68,13,-87,North,2,0,0.71834755
32734,0,0,0,21010.977,9.952801,Lower secondary,57,2,4,North,1,0,1.4529381
32765,1,1,0,54374.918,10.903658,University,66,11,121,North,2,1,0.061815754
32772,1,1,0,29450.006,10.290449,Lower secondary,73,18,68,North,2,0,0.08382466
32822,0,0,0,17009.408,9.741522,Upper secondary,60,5,25,South and Islands,1,0,0.6848493
32839,0,0,0,39588.156,10.586286,Primary or less,77,22,-28,North,2,0,2.1258664
32861,1,1,0,39622.62,10.587155,Primary or less,76,21,-71,Centre,2,0,0.38385624
32887,0,0,0,48760.902,10.794684,Upper secondary,60,5,25,North,2,0,0.24204077
33036,0,0,0,24552.508,10.108569,Primary or less,86,31,-63,South and Islands,3,0,0.102835886
33038,0,0,0,24806.271,10.118852,Upper secondary,65,10,100,South and Islands,2,0,0.28712726
33303,0,0,0,37751.36,10.538776,Upper secondary,75,20,-112,North,2,0,0.11310901
33335,1,1,0,42952.19,10.667843,Upper secondary,62,7,49,Centre,2,0,0.749895
33451,0,0,0,23415.68,10.061161,Upper secondary,67,12,-112,South and Islands,3,1,0.5862781
33479,0,0,0,44731.36,10.70843,Upper secondary,88,33,65,South and Islands,2,1,0.23487708
33839,0,0,0,13852.579,9.536226,Lower secondary,76,21,-71,South and Islands,1,1,0.49451154
33882,0,0,0,22327.154,10.013559,Lower secondary,71,16,0,North,2,0,2.35467
33937,0,0,0,28462.719,10.2563505,Primary or less,75,20,-112,Centre,1,1,0.36315006
34252,0,0,0,19140.977,9.859587,Lower secondary,73,18,68,South and Islands,2,1,0.4664735
34778,1,1,0,32088.914,10.376266,Upper secondary,59,4,16,South and Islands,2,0,0.4179705
34825,1,1,0,55674.94,10.927285,Lower secondary,69,14,-60,North,2,0,0.30367208
35022,0,0,0,16004.704,9.680638,Lower secondary,56,1,1,South and Islands,2,1,0.05443512
35234,0,0,0,29755.666,10.300775,Lower secondary,83,28,16,Centre,2,0,0.98103684
35322,0,0,0,13970.938,9.544735,Primary or less,85,30,-124,South and Islands,1,1,2.3465009
35323,0,0,0,20429.984,9.924759,Primary or less,85,30,-124,South and Islands,2,0,1.3716384
35340,0,0,0,7823.5195,8.96489,Primary or less,84,29,73,South and Islands,1,1,3.5307443
35372,0,0,0,41283.4,10.628216,Lower secondary,73,18,68,South and Islands,3,0,1.4480752
35640,0,0,0,44888.156,10.711929,Upper secondary,76,21,-71,Centre,2,0,0.6081204
